,EEM,LQD,SHY,EFA,SPY,IEF,AGG
2022-05-13,,,1.0,,,,
2022-05-20,,,1.0,,,,
2022-05-27,,,1.0,,,,
2022-06-03,,,0.75,0.25,,,
2022-06-10,0.25,,0.75,,,,
2022-06-17,,,1.0,,,,
2022-06-24,,,1.0,,,,
2022-07-01,,,1.0,,,,
2022-07-08,,,1.0,,,,
2022-07-15,,,,,,1.0,
2022-07-22,,,,,,0.75,0.25
2022-07-29,,0.25,,,0.75,,
2022-08-05,,,,,0.75,0.25,
2022-08-12,,0.25,,,0.75,,
2022-08-19,,,0.75,,0.25,,
2022-08-26,,,1.0,,,,
2022-09-02,,,1.0,,,,
2022-09-09,,,1.0,,,,
2022-09-16,,,1.0,,,,
2022-09-23,,,1.0,,,,
2022-09-30,,,1.0,,,,
2022-10-07,,,1.0,,,,
2022-10-14,,,1.0,,,,
2022-10-21,,,1.0,,,,
2022-10-28,,,0.5,,0.5,,
2022-11-04,,,0.75,0.25,,,
2022-11-11,,0.25,,0.75,,,
2022-11-18,,,,1.0,,,
2022-11-25,,,,1.0,,,
2022-12-02,,,,1.0,,,
2022-12-09,,0.25,,0.75,,,
2022-12-16,,0.5,,0.5,,,
2022-12-23,,0.25,,0.75,,,
2022-12-30,,,0.75,0.25,,,
2023-01-06,,,0.25,0.75,,,
2023-01-13,,,,1.0,,,
2023-01-20,,,,1.0,,,
2023-01-27,1.0,,,,,,
2023-02-03,,,,1.0,,,
2023-02-10,,,0.5,0.5,,,
2023-02-17,,,0.5,0.5,,,
2023-02-24,,,1.0,,,,
2023-03-03,,,0.75,0.25,,,
2023-03-10,,,1.0,,,,
2023-03-17,,,,,,0.75,0.25
2023-03-24,,,,,,,1.0
2023-03-31,,,,1.0,,,
2023-04-06,,,,1.0,,,
2023-04-14,,,,1.0,,,
2023-04-21,,,,1.0,,,
2023-04-28,,0.25,,0.75,,,
2023-05-05,,,,1.0,,,
2023-05-12,,,,0.75,,0.25,
2023-05-19,,,0.25,,0.75,,
2023-05-26,,,0.25,,0.75,,
2023-06-02,,,0.25,,0.75,,
2023-06-09,,,0.25,,0.75,,
2023-06-16,,,,,1.0,,
2023-06-23,,,,,1.0,,
2023-06-30,,0.25,,,0.75,,
2023-07-07,,,0.25,,0.75,,
2023-07-14,,0.25,,,0.75,,
2023-07-21,,0.25,,,0.75,,
2023-07-28,,,0.25,,0.75,,
2023-08-04,,,0.25,,0.75,,
2023-08-11,,,0.75,,0.25,,
2023-08-18,,,1.0,,,,
2023-08-25,,,0.75,,0.25,,
2023-09-01,,,0.5,,0.5,,
2023-09-08,,,0.75,,0.25,,
2023-09-15,,,0.25,,0.75,,
