,EEM,QQQ,SPY,EFA,DBC,GLD,VNQ,HYG,TLT,IEF
2019-07-31,,0.09284572176660566,0.13204146780996928,,,0.11979397859974115,0.12272364955197561,,0.17049904839765617,0.36209613387405204
2019-08-30,,0.08172857764150294,,,,0.10460072446654342,0.11345353929131528,0.2904213289922201,0.1200307833263984,0.2897650462820199
2019-09-30,,,0.10303175834830743,,,0.09756520132939892,0.12369382009926759,0.333100134605091,0.09950502251231542,0.24310406310561972
2019-10-31,,0.12465274413695014,0.14979268973090357,0.18425613400280857,,0.1801054831289335,0.20969132926665163,,0.15150161973375253,
2019-11-29,,0.14805957570675043,0.1927449752234604,0.19583101249610615,,0.15229263496236634,0.1797382340940366,,0.13133356751728004,
2019-12-31,0.14806367656574582,0.15347696185249746,0.18525444471897992,0.17678966139803967,,0.18146529210434917,0.1549499633603878,,,
2020-01-31,,0.16042277723784182,0.19485440055517209,0.1807205562299077,,0.18649169739375174,0.14662417807169814,,0.13088639051162848,
2020-02-28,,0.08315203988103517,0.09841904021683602,,,0.12902085487831672,,0.2985365695875664,0.11799973161622468,0.272871763820021
2020-03-31,,,,,,0.2735214033088051,,,0.18401984243456873,0.5424587542566263
2020-04-30,,0.10412440891633956,,,,0.2315655290685352,,,0.16701318198088044,0.4972968800342448
2020-05-29,,0.09457561231670336,0.09389704930611271,,,0.2130860987848124,,,0.14729375102204312,0.45114748857032844
2020-06-30,0.07673821571210022,0.07760060426341514,0.0754798596842473,,,0.14366316526160502,,,0.14519461361700364,0.4813235414616285
2020-07-31,0.07664841558669375,0.08674014595596832,0.08804819917520812,,,0.14330422527286885,,,0.13646936879569715,0.4687896452135638
2020-08-31,0.13806396738374893,0.14299361169959102,0.16392740342442477,0.15491291102596721,,0.15725334657379195,,,0.24284875989247606,
2020-09-30,0.1222325903231044,0.09252835442969912,0.14416050517845572,0.14865390817022936,,0.12176704339626608,,0.3706575985022453,,
2020-10-30,0.0910582943936139,0.055109019101741104,0.08069964855728863,,,0.07790484333142067,,0.2437924953007636,,0.451435699315172
2020-11-30,0.1685229636119344,0.101462486962596,0.14362747837758988,0.1599197446858372,,0.1872918884815254,,,0.2391754378805172,
2020-12-31,0.17082241990352223,0.12650503230208607,0.1731050272070706,0.16314024321127718,0.1944341154551785,0.1719931619208653,,,,
2021-01-29,0.10133571593627592,0.09463411152084317,0.1339881706206436,0.1162821691474012,0.14199900438662566,,,0.4117608283882104,,
2021-02-26,0.12921994618129495,0.14299257041900157,0.19972239665655295,0.1842874542901064,0.1814988827320735,,0.16227874972097062,,,
2021-03-31,0.12789540202099264,0.1237907912381418,0.19538806515788953,0.2240249830034972,0.14213193685841075,,0.18676882172106818,,,
2021-04-30,0.13060064030384197,0.11921955293585602,0.19733166234589186,0.21884893696668536,0.1319682302984028,,0.20203097714932203,,,
2021-05-28,0.14039447044104697,0.1236804475830672,0.2080190537345598,0.20820236106436782,0.12902788737295637,,0.19067577980400183,,,
2021-06-30,0.15949351738821915,0.14455777229038233,0.20691934338623755,0.17339870085770098,0.14794107272655374,,0.16768959335090633,,,
2021-07-30,,0.10340424063391826,0.13401402652188418,0.11304826470349907,0.08060232327745309,,0.10192367007345982,0.4670074747897856,,
2021-08-31,,0.1243576643931988,0.14166267038553537,0.11714035478715015,0.06610674146468788,,0.10893037800189628,0.4418021909675315,,
2021-09-30,,0.11974594862463206,0.13237528210432215,0.11850303499451126,0.07157443417396869,,0.1088638440939779,0.448937456008588,,
2021-10-29,,0.10602610007725999,0.12780076159205067,0.12887932609698716,0.07929329794229817,,0.10991110717991869,0.4480894071114853,,
2021-11-30,,0.11291210460147379,0.13732848877034246,,0.08425968532200812,,0.11745107467164465,0.4402797244847805,0.1077689221497505,
2021-12-31,,0.10002033022115007,0.13397448469085127,0.14948956851746512,0.08857442450104984,,0.1192480759317262,0.40869311613775744,,
2022-01-31,,0.2058640208217854,0.2926934669937175,,0.23802333123847014,,0.26341918094602695,,,
2022-02-28,,,0.20068036278312912,,0.2589691433832113,0.3457544629183032,0.19459603091535632,,,
2022-03-31,,0.14425598617296095,0.20977027678727103,,0.1470343629641142,0.27331247315665763,0.22562690091899593,,,
2022-04-29,,,,,0.2214045091112134,0.44755033627777036,0.3310451546110163,,,
2022-05-31,,,,,1.0,,,,,
2022-06-30,,,,,1.0,,,,,
2022-07-29,,,,,1.0,,,,,
2022-08-31,,,,,1.0,,,,,
2022-09-30,,,,,1.0,,,,,
2022-10-31,,,,,1.0,,,,,
2022-11-30,,,,,1.0,,,,,
2022-12-30,,,,0.2834647260007146,0.3223274640216954,0.39420780997759,,,,
2023-01-31,0.16239044708944347,,,0.1708821771608956,0.1704615815302603,0.2160312264171139,,0.2802345678022866,,
2023-02-28,,,,0.5014506152424176,,0.4985493847575824,,,,
2023-03-31,0.14981277356903175,0.11518880426002115,0.15348580069563794,0.16469511022091543,,0.15667811842680363,,0.26013939282759,,
