cost_bps,control,metric,arm,window_months,value,extra
20.0,gem,fnr_literal_rule,blend,96,0.508,P(edge_hat<0.2|true=0.2);B=2000
20.0,gem,power_literal_rule,blend,96,0.492,1-FNR;B=2000
20.0,gem,power_sharpe_diff_test5pct,blend,96,0.1795,crit=0.454;B=2000
20.0,gem,power_paired_test5pct,blend,96,0.192,crit=0.452;true_pair_sharpe=0.206;B=2000
20.0,gem,fpr_literal_rule,blend,120,0.207,P(edge_hat>=0.2|true=0);B=2000
20.0,gem,fnr_literal_rule,blend,120,0.5105,P(edge_hat<0.2|true=0.2);B=2000
20.0,gem,power_literal_rule,blend,120,0.4895,1-FNR;B=2000
20.0,gem,power_sharpe_diff_test5pct,blend,120,0.188,crit=0.419;B=2000
20.0,gem,power_paired_test5pct,blend,120,0.211,crit=0.408;true_pair_sharpe=0.206;B=2000
20.0,gem,fpr_literal_rule,blend,180,0.1785,P(edge_hat>=0.2|true=0);B=2000
20.0,gem,fnr_literal_rule,blend,180,0.505,P(edge_hat<0.2|true=0.2);B=2000
20.0,gem,power_literal_rule,blend,180,0.495,1-FNR;B=2000
20.0,gem,power_sharpe_diff_test5pct,blend,180,0.2355,crit=0.353;B=2000
20.0,gem,power_paired_test5pct,blend,180,0.264,crit=0.340;true_pair_sharpe=0.206;B=2000
20.0,gem,fpr_literal_rule,blend,240,0.1245,P(edge_hat>=0.2|true=0);B=2000
20.0,gem,fnr_literal_rule,blend,240,0.513,P(edge_hat<0.2|true=0.2);B=2000
20.0,gem,power_literal_rule,blend,240,0.487,1-FNR;B=2000
20.0,gem,power_sharpe_diff_test5pct,blend,240,0.2985,crit=0.292;B=2000
20.0,gem,power_paired_test5pct,blend,240,0.3245,crit=0.283;true_pair_sharpe=0.206;B=2000
20.0,spy_sma200,fpr_literal_rule,blend,12,0.3526,P(edge_hat>=0.2|true=0);B=5000
20.0,spy_sma200,fnr_literal_rule,blend,12,0.5048,P(edge_hat<0.2|true=0.2);B=5000
20.0,spy_sma200,power_literal_rule,blend,12,0.4952,1-FNR;B=5000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,12,0.1006,crit=0.935;B=5000
20.0,spy_sma200,power_paired_test5pct,blend,12,0.1142,crit=1.664;true_pair_sharpe=0.631;B=5000
20.0,spy_sma200,fpr_literal_rule,blend,24,0.3045,P(edge_hat>=0.2|true=0);B=2000
20.0,spy_sma200,fnr_literal_rule,blend,24,0.4895,P(edge_hat<0.2|true=0.2);B=2000
20.0,spy_sma200,power_literal_rule,blend,24,0.5105,1-FNR;B=2000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,24,0.1195,crit=0.687;B=2000
20.0,spy_sma200,power_paired_test5pct,blend,24,0.1235,crit=1.300;true_pair_sharpe=0.631;B=2000
20.0,spy_sma200,fpr_literal_rule,blend,36,0.2405,P(edge_hat>=0.2|true=0);B=2000
