universe,kind,window,cost_bps,start,end,sharpe,cagr,vol,max_dd,ann_turnover,ann_cost_drag_bps,n_rebalances
U3_cross_asset,gate_baseline,dev_to_2017-12-31,20.0,2007-03-30,2017-12-29,0.8804530924295209,0.10489972386145374,0.121828316020685,-0.17308116418765318,2.0462184873949583,40.92436974789918,129
U3_cross_asset,gate_baseline,full_2005_latest,10.0,2007-03-30,2026-07-01,0.7369894771715658,0.08857746973752612,0.12624947755507085,-0.2813695395072775,3.219891938006541,32.19891938006543,232
U3_cross_asset,gate_baseline,full_2005_latest,20.0,2007-03-30,2026-07-01,0.7109744135679522,0.085067490726497,0.12633096928812085,-0.28996721140970283,3.219891938006541,64.39783876013087,232
U4_no_semis,blend,dev_to_2017-12-31,10.0,2006-02-28,2017-12-29,1.021234094273764,0.13320802873661197,0.13092435222213994,-0.16810248231983693,5.746572895069425,57.465728950694285,142
U4_no_semis,blend,dev_to_2017-12-31,20.0,2006-02-28,2017-12-29,0.9770411889288169,0.12670220510886576,0.1309529203753751,-0.17849298032471173,5.746572895069425,114.93145790138858,142
U4_no_semis,blend,full_2005_latest,10.0,2006-02-28,2026-07-01,0.8934239957323571,0.1278241896392891,0.14704112764675384,-0.16810248231983693,6.381113202436394,63.81113202436395,245
U4_no_semis,blend,full_2005_latest,20.0,2006-02-28,2026-07-01,0.8497817792014519,0.12063605341293537,0.1470547628099272,-0.17849298032471173,6.381113202436392,127.6222640487279,245
U4_no_semis,gate_baseline,dev_to_2017-12-31,10.0,2006-02-28,2017-12-29,0.9152148836106484,0.10833752096300153,0.12038395861500993,-0.1730811641876535,1.859208699676076,18.592086996760763,142
U4_no_semis,gate_baseline,dev_to_2017-12-31,20.0,2006-02-28,2017-12-29,0.8992635497421936,0.10627261493561568,0.12045374281860691,-0.1730811641876535,1.859208699676076,37.184173993521526,142
U4_no_semis,gate_baseline,full_2005_latest,10.0,2006-02-28,2026-07-01,0.7538416173338843,0.09022677707526183,0.12525039670712293,-0.28136953950727794,3.0486672051696284,30.486672051696306,245
U4_no_semis,gate_baseline,full_2005_latest,20.0,2006-02-28,2026-07-01,0.7290256573694389,0.08689812795114515,0.12532355554418623,-0.2899672114097026,3.0486672051696284,60.97334410339261,245
