rule,offset,cost_bps,cagr,sharpe,max_dd,ann_turnover,ann_cost_drag_bps,trades_per_year,n_rebalances,start,end,in_grid
rot63,2,20.0,0.1033483895470797,0.6942401181123267,-0.24569684637609523,10.483487975040086,209.6697595008017,48.42703904136065,254,2005-04-01,2026-07-01,True
rot63,4,10.0,0.13548219133962003,0.875372673721228,-0.2708567185772274,9.580103126472178,95.80103126472181,48.00347893312718,255,2005-04-01,2026-07-01,True
rot63,4,20.0,0.12463437271263422,0.8150853734535017,-0.2719604866649483,9.580103126472178,191.60206252944366,48.00347893312718,255,2005-04-01,2026-07-01,True
rot63,5,10.0,0.12242737829071837,0.8009355491384704,-0.3007078965497799,9.730285050701022,97.30285050701029,48.191727870119834,255,2005-04-01,2026-07-01,False
rot63,5,20.0,0.11153680725282178,0.7399862493836515,-0.30176889066158497,9.730285050701022,194.60570101402058,48.191727870119834,255,2005-04-01,2026-07-01,False
rot63,6,10.0,0.10106746086977414,0.681684607942908,-0.22754514251246005,10.540617869909061,105.40617869909067,48.7564746810978,255,2005-04-01,2026-07-01,True
rot63,6,20.0,0.08949842198579838,0.615511279797962,-0.2407188768875882,10.540617869909058,210.81235739818126,48.7564746810978,255,2005-04-01,2026-07-01,True
rot63,8,10.0,0.08829062218691308,0.6199667600985359,-0.2711908678541203,10.200547414875256,102.00547414875251,48.56822574410514,255,2005-04-01,2026-07-01,True
rot63,8,20.0,0.07722248108145191,0.5542511791985122,-0.28079802145570176,10.200547414875256,204.01094829750502,48.56822574410514,255,2005-04-01,2026-07-01,True
rot63,10,10.0,0.10575281791908919,0.7037212885778303,-0.2778805729174094,10.04236954001479,100.42369540014784,48.52116350985698,255,2005-04-01,2026-07-01,True
rot63,10,20.0,0.09468110829985998,0.6412438283396754,-0.2820394955568496,10.04236954001479,200.8473908002957,48.52116350985698,255,2005-04-01,2026-07-01,True
rot63,12,10.0,0.11431907985519829,0.7363341669602642,-0.3008914660869181,10.07201590180956,100.72015901809564,48.14466563587167,255,2005-04-01,2026-07-01,True
rot63,12,20.0,0.10312953852767404,0.6747804040424393,-0.30138462998983606,10.07201590180956,201.44031803619126,48.14466563587167,255,2005-04-01,2026-07-01,True
rot63,14,10.0,0.11497577591384722,0.7478218664646831,-0.29801841596026335,10.154134138438874,101.54134138438876,48.56822574410514,255,2005-04-01,2026-07-01,True
rot63,14,20.0,0.10368897315095649,0.6852969210692498,-0.29855026827720643,10.154134138438872,203.08268276877743,48.56822574410514,255,2005-04-01,2026-07-01,True
rot63,15,10.0,0.11940057030797102,0.7985822664703963,-0.2586022194977913,9.93647674013543,99.36476740135421,48.28585233861616,255,2005-04-01,2026-07-01,False
rot63,15,20.0,0.10831043559438158,0.7344650245426125,-0.2638411916471034,9.936476740135427,198.72953480270843,48.28585233861616,255,2005-04-01,2026-07-01,False
rot63,16,10.0,0.1270070938509189,0.8338877887029389,-0.24201542242651586,9.84954338092541,98.49543380925405,48.00347893312718,255,2005-04-01,2026-07-01,True
rot63,16,20.0,0.11593898914433987,0.7713853503603438,-0.24312819979561606,9.84954338092541,196.9908676185081,48.00347893312718,255,2005-04-01,2026-07-01,True
rot63,18,10.0,0.11879856784842868,0.8068686316537117,-0.2662132512526284,10.059132309311806,100.59132309311802,48.803536915345965,255,2005-04-01,2026-07-01,True
rot63,18,20.0,0.10757795982690488,0.7406922913246535,-0.2725292795170776,10.059132309311806,201.18264618623604,48.803536915345965,255,2005-04-01,2026-07-01,True
